metric,value
accuracy,0.8169934640522876
accuracy_micro,0.8169934640522876
roc_auc,0.864516129032258
f1_macro,0.7850260939381775
f1_micro,0.8169934640522876
f1_weighted,0.8029061484087814
precision_macro,0.8718487394957983
precision_micro,0.8169934640522876
precision_weighted,0.8505519855000824
recall_macro,0.7696236559139785
recall_micro,0.8169934640522876
recall_weighted,0.8169934640522876
